"","date","CI005187.WI","CI005188.WI","CI005189.WI","CI005190.WI","CI005191.WI","CI005192.WI","CI005193.WI","CI005194.WI","CI005195.WI","CI005196.WI","CI005197.WI","CI005198.WI","CI005199.WI","CI005800.WI","CI005801.WI","CI005802.WI","CI005803.WI","CI005804.WI","CI005805.WI","CI005806.WI","CI005807.WI","CI005808.WI","CI005809.WI","CI005810.WI","CI005811.WI","CI005812.WI","CI005813.WI","CI005814.WI","CI005815.WI","CI005816.WI","CI005817.WI","CI005818.WI","CI005819.WI","CI005820.WI","CI005821.WI","CI005822.WI","CI005823.WI","CI005824.WI","CI005825.WI","CI005826.WI","CI005827.WI","CI005828.WI","CI005829.WI","CI005830.WI","CI005831.WI","CI005832.WI","CI005834.WI","CI005835.WI","CI005836.WI","CI005837.WI","CI005838.WI","CI005839.WI","CI005840.WI","CI005841.WI","CI005842.WI","CI005843.WI","CI005844.WI","CI005845.WI","CI005846.WI","CI005847.WI","CI005848.WI","CI005849.WI"
"40",2020-09-18,-1.29277259955836,-1.62039954023143,-1.44211217502082,0.694836700223044,-0.461886990860891,0.233126692438516,-0.488644283602566,0.904770514410757,-0.60850817286126,-0.914873103253555,0.196786478892271,0.437300424258275,0.33366080674947,0.930111927248891,-0.911235660993846,0.042270895766346,-0.391592459112105,0.781019925647829,0.0348013812574331,0.329143533259349,-0.0749554357126301,0.741156067668714,1.03877932973437,-0.0971584608911337,-1.54265236390035,-1.56565195955069,-1.69589734470828,-1.43252579132542,-0.890545953171797,-0.749308328195198,0.035687708271209,-1.09864352672772,-0.671833237323779,-0.0103356247965571,-0.461501391482907,0.717260124467374,-0.114335734754025,-0.339850936944852,-1.15390388761459,-0.295465984670491,0.519805149477571,-0.896544295509719,0.18591938765825,-1.53420185486258,-1.33853657371712,-0.976679545478297,-0.926488553643247,-0.814054168867196,-0.144241200186094,-0.633947034785843,-0.845805894953621,-1.04573624518865,-1.25659687073208,-1.44739450684856,-0.779518808219588,-0.88039598809041,-0.708773989231062,-0.17392436223685,-1.27870404720422,-0.455422442253408,-0.998707222309611,-0.998140125550767
"41",2020-09-25,-1.44608438392798,-1.9610521715512,-1.61561199003223,-0.241974611507983,-0.845491929977484,-1.05658611073404,-0.979726173452104,0.0452343784483549,-1.5149035909977,-1.988505609574,-0.664297999783815,-0.876331888721339,-0.352336392123264,-0.573399319940696,-1.80944530055045,-1.09012532912811,-0.660891759811708,0.281642066262181,-0.629225415393642,-0.466798650431032,-0.747065602109118,-0.245429822750125,-0.122810594105081,-0.371079010035851,-1.58723960725663,-1.91728595632166,-1.8422152596933,-1.4707722541654,-1.20832888363875,-0.973555977145551,-0.40834291462129,-1.48400542972415,-0.840642485821168,-1.37036896222774,-0.971795623647808,-0.459191516278087,-0.565641820799501,-0.820168907184009,-1.49531193309877,-0.563715722839095,-0.493974351286484,-1.29939953993495,-0.153249855183136,-1.62832964323669,-1.47584261235086,-0.82674090985983,-1.07224057648589,-0.967524156241659,-1.0438436464516,-0.855959290628564,-1.46327106435932,-1.29717899169782,-1.16630519019488,-1.64216137154288,-1.02003369814565,-1.19459453344086,-0.914321903159304,-0.497075150135539,-1.59101440825371,-0.624613719523313,-1.16267805931744,-1.16406562968667
"42",2020-09-30,-1.43651119050662,-1.96143756980811,-1.66564619059624,-0.532297120845558,-0.87543228949687,-1.32023261082769,-0.983069135899941,-0.267155514465985,-0.807442857225675,-2.13668019476025,-1.05587636872098,-0.793454043623506,-0.827591847220455,-0.853966381953295,-1.91746544040403,-1.28277620994516,-0.683620608559255,0.171368487073727,-0.668509467152803,-0.640327971023514,-0.720343801504027,-0.129659668814606,0.126394273410553,-0.208865298896559,-1.60821125867105,-1.97150643729751,-1.90627540894723,-1.43190891257324,-1.33006437613264,-0.569358782891688,-0.740375357219597,-1.25700169258357,-0.833824701192044,-1.35581351950527,-1.34231697508532,-0.373425883183484,-0.020206951449275,-1.06521767221561,-1.4731261137361,-0.987765320883078,-0.794419566916444,-1.37426227461395,-0.143845759615382,-1.66450269392997,-1.56059638672476,-0.815125893350297,-1.11509782310093,-1.00581708540203,-1.09143558691033,-0.756896413387358,-1.59130652076345,-1.50654683646404,-1.10845883285707,-1.63344585526062,-1.08184448677265,-1.25483049418688,-0.885599705487794,-0.464945173622388,-1.62860473296606,-0.525489595013594,-1.20729261406385,-1.14282200363803
"43",2020-10-09,-1.51266235304364,-1.85858128516958,-1.66651759702735,-0.558572979502001,-0.591837960899727,-0.971111436808923,-0.387784434950963,-0.222502764833729,-0.713767026029851,-1.66034224099393,-0.875388124134842,-0.79608814215603,-0.544817159352024,-0.362507046006783,-1.63193373501392,-1.02916280986686,-0.628961459876598,0.208551001298346,-0.449359755807493,-0.349564107170284,-0.318681463365614,0.18232862070451,0.71937753178634,0.13615510762759,-1.62203942480442,-1.85858129438626,-1.76410209476179,-1.47928405296445,-1.30554004438024,-0.302486672629417,-0.494333857900401,-0.785234605747275,-0.625594713038101,-1.34763530374572,-1.16184558945757,-0.0188449499613315,-1.03358397940209,-0.523602267788246,-1.31164884471981,-0.893931424452645,-0.927132656787802,-1.27801962137179,-0.284030179559933,-1.66397233192918,-1.56944061651905,-0.985199816651982,-1.12735329259346,-1.02620006455881,-1.01449720086993,-0.390649322705006,-1.58155629883687,-1.45269485091333,-1.0634246077545,-1.69153164529676,-1.12740610882874,-1.20998073064217,-0.787228290185172,-0.361036358994412,-1.62798689853213,-0.567397628377154,-1.08132657329865,-1.05426483039901
"44",2020-10-16,-1.5992850311726,-1.81173803363542,-1.67267056174676,-0.511875601615866,-0.332369624868853,-0.798339457351771,0.0665076597173816,-0.19954168392826,0.0140000553861131,-1.53670050276507,-0.871345524716092,-1.00382270106294,-0.138000446895441,-0.0682556813991177,-1.26863400026304,-0.641364091629723,0.113947257491542,1.15253648788988,-0.0559003711605373,0.177215842933912,-0.344409024867969,0.384823379737174,0.628126058998775,0.316689907242328,-1.64774769702931,-1.58806447675401,-1.73692518361564,-1.39427655088596,-1.3586093447526,0.149795076238229,-0.70102113044459,-0.103318195489192,-0.511394520521077,-1.24878518844625,-0.226000214529485,0.100764209003487,-0.8130791718498,-0.528112286712306,-1.30605267182148,-0.832436913627364,-0.139239373984208,-1.16255203788383,-0.28158454124855,-1.70262511603485,-1.57042499401979,-1.34918763017194,-1.12528144373666,-1.0381909868102,-1.01481411800511,-0.477633935328222,-1.36752517805061,-1.50362084103503,-1.17011670718137,-1.78003218544505,-1.17327808546269,-1.23489847790385,-0.731730750278254,-0.243569684639405,-1.58760949121844,-0.0714933907444307,-1.38215196423019,-0.843554883684628
"45",2020-10-23,-1.61057022152939,-1.84122390996209,-1.71144408005472,-0.679537116065597,-0.824010199521514,-0.971766755912804,-0.161106471749269,-0.299189676984925,-0.350771398148695,-1.6462183822919,-1.03389585632304,-1.1413058275088,-0.653808748040647,-0.354298958875705,-1.56356668741069,-0.842975279459508,-0.226577522599387,0.880770821469044,-0.375809099733267,-0.301016634853658,-0.514161943564628,0.0119249576517181,-0.237204189170519,0.084066088059827,-1.69267739820373,-1.79267959329704,-1.75567360604483,-1.39372244138614,-1.15438214599935,-0.262710937335169,-0.965198498853391,-0.604027291816999,-0.506477610478385,-1.44044663054255,-0.467524924876932,-0.0855490373242162,-1.16251200665964,-0.836597582616306,-1.4581575335411,-1.0515625005452,-0.587395971512783,-1.19197153371588,-0.75017830489368,-1.73654215494067,-1.6259765462528,-1.59653766209441,-1.22177228081479,-1.05860867757591,-1.21086170196112,-0.609984534033606,-1.25060719935868,-1.43428695767127,-0.822978426602876,-1.76701083504388,-1.18724277904506,-1.34865542358003,-0.97269516671792,-0.44490223134738,-1.25138774731785,-0.041593002904563,-1.48262893857192,-1.01973358517755
"46",2020-10-30,-1.39576120301948,-1.90312507802354,-1.73922867103755,-0.69211854953494,-0.943026278956327,-1.2316340605797,-0.392815558444654,-0.448892150230849,-0.587612505523739,-1.81840487425493,-1.21109630795822,-1.15472110950278,-0.802448959807127,-1.01885988608111,-1.74273674311843,-0.679951113677015,-0.0210344797700421,0.245816856334955,-0.510940892027625,-0.326515074566918,-0.570955679864715,-0.052148861708874,-0.0043505607062705,0.158607148347577,-1.72202690279563,-1.84345535136875,-1.83082267960228,-1.44063802731999,-0.994943990638154,-0.166173278693383,-0.889559497298002,-0.934464112910386,-0.353972956344129,-1.45766000706734,-0.636392235167367,-0.388282330867657,-1.19904503938499,-1.08296128031269,-1.53136834878834,-1.19659354638452,-0.822676568655727,-1.36716093705647,-0.83565516941308,-1.77198071083095,-1.53950435915674,-1.89934096930812,-1.24570618473181,-1.07789622518818,-1.15125156089036,-0.670730036315189,-1.33889920050032,-0.939561513307587,-0.18062472935175,-1.56158854779994,-1.04062974487029,-1.37036185349286,-1.05406268105957,-0.703184861306214,-0.825852165516178,-0.160099280689084,-0.704658794963254,-1.11830726172641
"47",2020-11-06,-1.39860441937846,-1.58566078374115,-1.64929547330074,-0.14530216257754,-0.757810855440891,-1.26303486207631,-0.258999555969281,-0.419010313146234,0.0609362031357787,-1.52690502924531,-1.22873035739457,-1.09006732314565,-0.634184232889344,-1.03714382266514,-1.72021065298984,-0.144831348253795,0.0893331337453811,0.44272966568637,-0.343627997927497,0.084655902512283,-0.49771873152532,0.292543407419686,-0.293862403428063,0.5504150141057,-1.7573360896605,-1.8958326128478,-1.70797152815572,-1.47042242525842,-1.28178107873529,-0.0484831633569889,-1.17429424595057,-0.777235708280738,-0.100214687048678,-1.19552391009495,-0.703840779456133,-0.6024153074925,-1.18582251567394,-1.06325297390024,-1.5307658154832,-1.25155055229167,-0.655776416131466,-1.37807478115539,-0.821299747892817,-1.69561669066417,-0.995481236785493,-1.96920664539065,-1.22863859180904,-1.15844436174409,-0.799598014502464,-0.440040926837573,-1.1928357269208,-0.940201059945614,-0.0737311333685096,-1.69355883055845,-1.01501155900007,-1.39700159387903,-1.03681645446243,-0.669021102336647,-0.758433925081039,0.0670615078770672,-0.597151077583283,-1.08876144739544
"48",2020-11-13,-1.0705578883772,-1.34855405996079,-1.41468293094698,0.677478407851929,-0.541253217849057,-1.01125978315779,-0.0850890626103932,-0.402054870679343,0.149942083219563,-1.52708864280479,-1.22458955634265,-1.0687354480073,-0.382711220495272,-0.609568054836922,-1.54199426439127,-0.147047474572491,0.199420546934255,0.323221695890533,-0.294817094224796,0.15121783341764,-0.552803212993632,0.238439016871581,-0.340154279317456,0.760267629126694,-1.33802098061969,-1.38497371987272,-1.70956272233321,-1.19549548445075,-0.632018005945291,-0.145066160063099,-1.12232255307583,-0.946252802695968,0.105896651341375,-1.16995903171479,-0.73444152447861,-0.72772694604901,-1.30975603507181,-1.14271186752934,-1.36237020881317,-1.29600394032962,-0.949267970157437,-0.74402419267573,-0.667900810959902,-1.66434080790052,0.394477431124191,-1.10714985106722,-1.22561658826633,-1.16109073247381,-0.766928347945039,-0.566309740020162,-1.1642777645721,-0.376628111960323,0.51944697956114,-1.04405305237768,0.411062004319155,-0.0655760058318404,-1.03481114287405,-0.63672505169162,0.703568583668632,1.83115966028204,1.1931422950009,-0.165061376494177
"49",2020-11-20,-1.69167100862601,-1.03224668144973,-1.11041009369347,1.4599135418872,-0.242802966047357,-0.758530236951652,0.0210052161440536,-0.300832982984511,0.193857334854842,-1.54387314785741,-1.29101101978048,-0.957080210965903,-0.403731547321953,-0.39616970433351,-1.62570268858255,-0.171181531741136,0.091207553572633,0.412848534709229,-0.254785916547035,0.17133126847225,-0.637096091697445,0.372731573330899,-0.29738939304065,0.707521682475292,-1.56648402325654,-1.94780948927743,-1.69295099561773,-1.02133126226853,-1.01578095734059,-0.11874219383765,-1.12730563946338,-0.925798839718326,0.0548464457997451,-1.0782679325422,-0.788914000589507,-0.555326654924081,-1.27162728208843,-1.19206387467712,-1.06472996767085,-1.33829788131185,-0.845716631558556,-1.33189255941151,-0.831023415347902,-1.90087878695932,0.170049167398584,-1.3313395501346,-1.23114925910274,-1.16800164582568,-0.697017120110022,-0.678751974083451,-0.840546409885006,-0.295780606725884,0.145711736825007,-1.04158182681693,0.223024869411404,-0.19431984907102,-1.0882036114591,-0.597188189844768,0.119243515719485,2.4184083030833,0.870262546933884,-0.0573329353303554
"50",2020-11-27,-1.83280132322284,-0.98121169156292,-1.11855216181844,0.726516477486207,-0.407874517636938,-0.88767817138764,-0.305765355595908,-0.304044965580882,-0.0608280493646241,-1.63329785394369,-1.32427280438984,-1.19789841926522,-0.880640008939234,-0.359835960863272,-1.75641558078185,-0.384579189094989,-0.270820936011929,-0.0807388826697653,-0.409688777588587,-0.0890264812217391,-0.884963531911418,0.244715891595934,-0.305716592944717,0.24820649127312,-1.40601079847334,-1.99223083729519,-1.76413605221443,-0.449430536672769,-1.07910266939898,-0.528392138093464,-1.17941459413108,-1.25998758643057,-0.647643966058289,-1.34981782358924,-1.02774569728485,-0.774071302406457,-1.4594160630556,-1.22222247076184,-1.31393322036497,-1.370004868296,-0.751035372561758,-0.954389092292505,-1.05537595287739,-1.73968502179904,-0.0962546301690666,-1.26125010711178,-1.25532428176855,-1.22180171821447,-0.861200404509112,-0.851983626431578,-0.81986907878734,-0.66760087176985,-0.0881309044648982,-1.04155854368534,0.371166351265492,-0.0518194878958919,-0.904586179134404,-0.48136290843673,0.0751672030022076,1.18171057317206,0.914351972342513,0.593690815883534
"51",2020-12-04,-1.76972315608696,-1.1888596511287,-0.766509496921805,0.63122210371594,-0.35714829123828,-0.997512109087078,-0.485589119761793,-0.175116521360729,-0.0254192271580648,-1.63767827030068,-1.3526222485437,-1.21347174558969,-0.927516637746117,-0.464330360767237,-1.6077905510503,-0.301031484492494,-0.024624730165833,0.069659313223212,-0.347875964700427,-0.108869802943805,-0.879457576310766,0.163703468237008,-0.317025431774186,0.207479818493198,-1.6595699010933,-2.00520908202773,-1.79466737733689,-0.448041023174666,-1.36887595933458,-0.312058214395987,-1.15299083363977,-0.958350714815177,-0.57706239573314,-1.28556014157374,-1.01163102510058,-0.4948749417499,-1.18965784572393,-1.19010927200864,-1.34245801115109,-1.40712592664637,-0.406827613039217,-0.296236575557879,-1.08692228958194,-1.75246792391495,-0.314215413136072,-1.37860184858368,-1.23698118377117,-1.09902358159387,-0.83389347885718,-0.813612910933411,-0.948476339298805,-0.623983527364421,-0.25486577533778,-1.03898998052694,0.104626753286352,-0.247348619416611,-1.01559072918884,-0.32964444772099,-0.127610555122271,1.10399894391351,0.103566080537316,0.709101431347626
"52",2020-12-11,-1.71831935584753,-1.394216691306,-1.04219411274296,0.548186861266189,-0.525759688644734,-1.15613420323953,-0.641244913917886,-0.452625279556204,-0.412008919245688,-1.22394582894346,-0.299077966232079,-1.14724306228347,-1.00925181879986,-0.608150179726318,-1.18677238455753,-0.557215610202112,-0.151855389169029,-0.492777629364997,-0.478392584046724,-0.39309253720325,-0.965611358115087,-0.186455558851867,-0.220962526156277,0.550383868490681,-1.15306664306215,-1.66796310909257,-1.48729475900869,0.0588109891954988,-1.21555584877196,-0.285008923668953,-0.99228453367125,-0.352352057163942,-0.765540265154272,-1.37591935090461,-1.12765528923696,-0.593879609124181,-1.27450069168929,-1.24486842151748,-1.43320014624749,-1.27346099268996,-0.788662430464636,1.17820341808364,0.109446743829644,-1.32411141415818,-0.0141663450322629,-1.51843392923142,-1.21525342571709,-1.21496322186436,-1.05324441339415,-0.934929644868797,-1.48248710331991,-0.087729407627261,0.0834714920021827,-0.65895559675999,0.711592531055431,0.138957077774124,-0.550324376256332,-0.583177975345194,0.407045292592366,-0.357889718244346,0.521844127225704,1.09625527448037
"53",2020-12-18,-1.62667670053524,-0.655184826040166,-0.992690315420671,0.768865735259448,-0.562145651200687,-1.17649703611545,-0.454159036121544,-0.532331075057721,-0.507849164887602,-0.813289225078169,0.230091829616321,-1.34053555479041,-0.99886869171634,-0.596747374753796,-0.839887186519065,-0.489076687797272,-0.159658960702818,-0.605302049631292,-0.369082480767537,-0.353110362799572,-0.975395959014776,0.0422351335336301,0.277733481363618,1.63576541166813,-1.32766688973147,-2.10753496180608,-1.45994866566309,0.466494055888871,-0.833342014836385,-0.191157752818862,-0.372890389784136,-0.80516297213009,-0.785366219618985,-1.29763912650866,-1.23832494313265,-0.363781289981973,-1.26249668405124,-1.07513532061144,-1.38863980870791,-1.13614480884232,-0.782143925635604,1.20363842565803,0.332220448390506,-0.848166956587116,0.136062501385452,-1.29821721856088,-1.24292703294917,-1.20473938601056,-0.994471908710072,-0.94433929386104,-1.53716498020629,-0.189588400734548,0.314479754757834,-0.0996861767650182,0.773277369206229,0.310085457329723,-1.06446515258562,-0.601967733169854,0.475725938102516,-0.538613877303545,0.438132203753019,1.37287629385927
"54",2020-12-25,-1.5928185816133,0.649177328540609,-1.04580206811499,0.771641678832575,-0.410735883527881,-1.20765804776051,-0.127243505878421,-0.607555933391159,-0.463149955359589,-0.404733126713743,0.682843904829047,-1.32005860238342,-0.943490402982299,-0.450029793809183,-0.395572040793931,-0.728423367574045,-0.278140998890483,-0.787084197291207,-0.281086329593947,-0.168311381521262,-0.402616636299942,0.380068779419313,1.16571495282567,2.25514552320127,-1.04849938509523,-2.15315041009499,-0.903529926971018,0.504574019264945,-0.284543875718353,-0.407913211776253,-0.485028658530273,-0.374565059580368,-0.098435574939298,-1.5997843455582,-1.20402515604998,-0.416964529736232,-1.30805462179024,-1.06562009192803,-1.41402028368897,-1.36526026160073,-0.918504443127977,1.31217926194867,0.823762180129499,-0.589917280998725,0.705537812175528,-0.194890276007166,-1.30556114960913,-1.26952820498179,-0.877614538725976,-0.861740945790445,-1.42848422637411,0.129915335903715,0.87609565487646,0.495105486055066,0.7958423014288,0.77276136912522,-1.03247665066878,-0.713142065751745,0.97031954285034,-0.872506501389526,0.843308646013674,2.04538796862002
"55",2020-12-31,-1.60898205682067,0.524406868453299,-1.45574264680762,0.711489969364265,-0.298303172891164,-1.19606515768146,-0.0228542937498128,-0.648608372364186,-0.153599022976429,-0.233004213805075,0.584200830879349,-1.29795018758553,-0.827054942752075,-0.301522062336506,0.00210275192578543,-0.655879400770747,-0.284302014862229,-0.855147795979064,-0.0547205588482943,-0.00644001084253924,-0.322795134448311,0.671842522891951,0.882345716140375,2.46673033279024,-1.06266060644146,-2.23326577511121,-0.539556159228801,0.56813721910438,-1.18677028495423,-0.68872476725014,-0.29500793795555,0.266518425895581,-0.17904451459366,-1.59989284881081,-1.12370640018678,-0.0405709851034378,-1.32768524587326,-1.08217652215939,-0.588289147705356,-1.46596567586626,-0.902255138097869,1.31557078810091,0.873003975484754,-0.502436757646957,0.707819796612938,-0.243801674897598,-1.27477885669561,-1.25726112169781,-0.710196560436691,-0.848530373401535,-1.25117919041463,0.296360062191196,0.77981892728708,0.441433458186485,0.468595856716281,0.499575345764214,-1.2404543829674,-0.396624551738862,0.984845504389502,-0.767850856539362,0.359896427097751,1.01084241387
"56",2021-01-08,-1.65329552617075,1.99438176158904,-1.11766131776432,1.68658814551595,0.600667494513417,-0.92065060821115,0.751978922116975,-0.535784067435445,0.319180689117157,0.340961037809054,0.991502109524869,-1.4008436318932,-0.426867363216879,0.216407456669093,0.222405785556324,-0.745788719961679,-0.024980407669119,-0.813593658224432,0.59021382183359,0.288187922412274,-0.167434987594951,1.12416881690021,1.27267961104959,2.95636438967042,-1.17586532989244,-2.28983405345266,-1.70714495739489,1.46610244590122,-1.48742690343143,-0.891867153640628,0.172013508248866,0.167275203355443,-0.318408160346076,-1.11793981648008,0.51510914188193,1.78653523803407,-1.03716335314831,-1.11974855883379,-0.43275074075862,-1.56292294709235,-1.05137900081698,1.02967574377992,0.68421993904167,-0.220074254945993,1.04177999647754,-0.109846871639298,-1.18787095220911,-1.2659866382268,0.537172102597199,-0.733985005717427,-1.22812229995226,0.61542412647324,0.8622010657031,0.719784746685681,0.058282461906367,0.487628532098932,-1.26287841156725,-0.0329858938589289,1.22353908469303,-0.920864479716348,0.26276209930679,0.973286794630924
"57",2021-01-15,-1.64713088367833,0.997343408582625,-1.25872567023218,1.47280458328099,0.515565810205732,-0.901306049993394,0.734777177877368,-0.484409745392379,0.811339003618893,0.465420150668478,1.00677637406129,-1.42375781697704,-0.0741809375413697,0.315923921021182,0.346189627101647,-0.755399735759507,-0.00985692798156626,-0.781754955698883,0.579071311538407,0.501361046424616,0.0305911064511772,0.456336473434429,0.880412087616215,2.04997053283437,-0.677451073146104,-2.3356144021178,-1.67406302661363,1.38108892906932,-1.38328235344545,-1.05286168073,0.701968333867526,-0.6216791483606,-0.552897936409571,-1.33607833707079,0.645862273572194,0.55812679267467,-0.532581250198977,-1.43979287987374,-0.384788536651544,-1.11640277418137,-0.768534361107588,1.06711686832753,0.587985106851155,-0.13763608981947,1.29922854394775,-0.30042684155759,-0.865712377880963,-1.17604563466388,1.26698646426388,-0.732303946955265,-1.42128487771059,0.0102769751977471,0.79517255436779,0.672061135710848,0.00514552330554484,0.517663572150565,-1.23387855310967,0.664045175798481,1.29474682269505,-0.904231675831889,0.344634132535176,-0.335113986760194
"58",2021-01-22,-1.79635638900937,1.43347239694695,-0.310257267164329,1.73922521626211,1.62867115391237,-0.632437036204045,1.23379326597946,-0.260079677982473,0.976657661148291,-0.0251452227531141,0.881842577779646,-1.41619574327436,0.0710770125450096,3.10988700153264,-0.0806488332299146,-0.453499989382866,0.0303332312951681,-0.918421448881978,1.18548724389986,1.05404322028515,-0.799676855713166,1.0037954307651,1.06253644449467,2.53550453625894,-1.4203929086166,-2.15182273224073,-1.55407336225211,1.40773845012908,-1.33115094783579,-0.882694541691143,1.62135418311826,-0.994017218507815,-0.572091009743643,-1.50311735577957,0.48546339850029,0.428541601445523,-0.560583420253356,-1.40308406707859,-0.232584057827618,-1.16408532589951,-0.923595758207273,0.62403487407774,0.27637455003063,-0.187457128529089,1.50955371343388,-0.463881062506442,-0.0643732051623399,-1.34037720585509,1.41791974484758,-0.720260058587635,-1.4936843258498,0.356530514719298,0.852497608406913,0.843802160645709,-0.201804815193944,0.115461300109403,-0.911798247554542,1.71257179580614,1.37134804723699,-0.844726048825463,0.198248785286874,-1.10574657030081
"59",2021-01-29,-1.40919196110519,1.02378129640669,-1.00545931073572,1.02326221611498,1.83994273109551,-0.30652301611476,1.01025561345349,-0.129844073825961,0.715707457028462,0.90810904369397,1.4080309274945,-0.816765650233042,-0.263429161883527,1.82565711615701,0.329725423721462,-0.421262258785708,-0.153750005041279,-0.563489395230826,0.421961981167854,0.654615157235248,-0.418024610613803,0.906955899309591,1.05592777570122,2.03608111586605,-1.21663380215844,-1.96086982572264,-1.57883809415421,1.81022188033591,-1.17811678349205,-0.462732864811087,2.12939122271085,-0.860459878004752,-0.808309072625417,-1.60068637119139,1.3773920504993,0.0304431556205331,-0.218555457739314,-1.48852634856766,-0.526506214016123,-0.90582663967195,-0.872567713824452,0.573114922683737,1.31799425449361,0.824607867464976,1.84792697405983,-0.138537252655347,-0.393315183056698,-1.46375722692664,0.369531721119793,-0.943742172128135,-1.38933064324646,0.914618167337772,0.980780853944772,2.1048925406339,0.251620077968816,0.468061096861885,-1.19810932140252,0.601761948625819,1.43123858807992,-0.971026084947133,-0.10104552050258,-0.904273295249314
"60",2021-02-05,-1.57341151828515,0.0967666352238249,-1.67577973843239,1.20856716952143,1.41349874462035,-0.236017512518639,0.630568583221675,-0.218572531081042,0.859472710075715,0.849807988312459,1.25417044760577,-0.426896299902607,0.183565341797453,1.41271762649752,0.862724637838911,0.139898662099379,-0.434511685486825,0.0662754754662436,-0.402906784682317,0.277995318939572,-0.255360432270971,0.347171680011691,0.719912683867536,1.55849543256992,0.162390588074779,-2.02594875639257,-1.42772406930533,0.696220541203688,-0.758663249046038,-0.530140410535306,2.52477813476332,-0.767318045502834,-0.808230999541686,-1.54519141643884,0.696708789470623,0.081277237687443,-0.24890513181297,-1.42716930628269,-0.208262419710174,-0.00301237225734198,-0.498243096508795,0.818762789320119,1.46849288917118,1.73542449866327,3.98340436872706,-0.143325061502583,-0.643175546871623,-1.13651208584571,0.42899957330028,-0.400043608427374,-0.959031630374421,1.3157143631622,0.988479826041888,2.35800730593809,0.736339210657656,1.34955233474566,-1.33055629850856,1.07340595821329,2.04104912801289,-0.745145995234946,0.268386555253223,-0.849675947333209
"61",2021-02-10,-1.64861387269289,0.331471222920682,-1.43320299058924,1.31904121752155,2.40714785332066,0.994859877482928,1.4408167420251,0.747326381104346,1.85061829877258,0.672680718030812,0.156388307482202,-0.936381841366773,1.07259265127173,2.52027703819836,0.483358114191712,0.640766063803206,-0.215495587878757,-0.00102342624250705,-0.562237253245609,0.571707919389364,-0.236735404152235,0.481846607403879,1.29341165145638,2.89120096732688,-0.378419952214272,-1.9530812163468,-1.68262199585783,0.894986074894036,-0.803603366264987,-0.515101068151811,2.54510462603119,-0.812084769359952,-0.686936712098759,-1.47210299192574,0.548105738591692,0.322746074987824,0.120870874228173,-1.39720274872079,-0.639565311196857,-0.553790339332778,-0.051684555743286,0.338851289586825,1.41428972108946,1.12655013055852,3.31168625832843,-0.0150155565388513,-0.827912272404716,-1.03710571285581,1.27552523634246,-0.770969094752493,-0.685692327123915,1.54024781747684,0.696872992030182,1.71751233723084,0.607995397345556,1.12649618762979,-1.25598818589253,1.89852793029378,1.60968325047093,-1.00636899036925,0.0140779187563713,-0.94657617447144
"62",2021-02-19,-1.55273199491153,1.22363378055831,-0.717513527115975,1.43856775538615,2.74570607277513,1.23023873024508,1.8466358533716,1.31224401752808,1.76633247761531,0.0516719165545755,-0.629416115246006,-1.0415505431911,0.559560353885349,2.35606758580824,-0.0613927147917297,0.00514761214141958,-0.452916570462711,-0.161989784165402,-0.505808790746123,0.353338868151326,-0.502687929301887,0.515789362208087,1.3818815144542,2.90001235545,-1.24661491988992,-1.79414051191821,-1.75817554681053,0.248924255626855,-1.03757733591974,-0.781957160067706,3.06139931479384,-0.781154370233805,-0.568162845822563,-1.58823883722625,-0.587004537753342,0.670181468061495,-0.161354836950732,-1.20274242478839,-0.58053050619007,-0.774356857472727,0.627256816816776,-0.37445765406462,1.4920533513807,0.280448026450318,1.32460864440914,-0.569421591858608,-1.24660522288947,-1.08125605627503,1.1857734793052,-0.537777268850852,-0.563950294970015,0.563894224304906,0.212194753590646,0.894532072625279,0.17431840533841,1.12749384438171,-1.30916359729913,0.88872685026885,0.587352649149568,-0.913871132196114,-0.43490002736094,-0.988993966770645
"63",2021-02-26,-1.45341687768147,-0.0892123712715717,-0.557643612501387,0.408894498864804,1.45966183385578,0.622995056337312,1.01989383277883,0.167071035225433,1.05690343677156,-0.491281874697163,-0.88979376664821,-0.22341564773334,-0.482009956541283,1.31246145853291,-0.369909278139331,-0.476993418399549,-0.9360565160369,-0.209030066261078,-0.601399693217936,-0.293278098445633,-0.0174809280236184,-0.247569552305907,0.150797633766599,-0.0432947450222551,-1.38949137788723,-1.97993696299403,-1.8409549597214,0.174190418253264,-0.962559258175934,-1.054257899066,1.54529539036625,-0.667061057756448,-0.883361329386748,-1.55395396747171,-0.654126682032618,-0.593184718695534,-1.25883871904805,-1.31397652688663,-1.29304608966847,0.298102749152938,0.458708623166246,-0.307779278859808,1.29899117698344,0.0980394014276798,0.639596535870577,-0.5563669340327,-1.35524276321569,-0.962737423568678,0.541021360878073,-0.190748250572847,-0.922371234922255,0.616444569300705,0.0668474448828697,0.0841963742095205,0.0774033933072683,0.811421046806358,-1.52385140318008,-0.686844791302635,0.374576553575886,-1.0620583258049,-0.485364294245781,-0.799096143313059
