申万一级行业代码,申万一级行业名称,申万二级行业代码,申万二级行业名称,申万三级行业代码,申万三级行业名称
,,,,851811.SI,住宅开发(申万)
,,,,851812.SI,商业地产(申万)
,,,,851813.SI,产业地产(申万)
,,,,851831.SI,物业管理(申万)
,,,,851922.SI,金融控股(申万)
,,,,851927.SI,资产管理(申万)
,,,,851931.SI,证券Ⅲ(申万)
,,,,851941.SI,保险Ⅲ(申万)
,,,,852021.SI,贸易Ⅲ(申万)
,,,,852031.SI,百货(申万)
,,,,852032.SI,超市(申万)
,,,,852033.SI,多业态零售(申万)
,,,,852034.SI,商业物业经营(申万)
,,,,852041.SI,专业连锁Ⅲ(申万)
,,,,852062.SI,跨境电商(申万)
,,,,852063.SI,电商服务(申万)
,,,,852111.SI,人工景区(申万)
,,,,852112.SI,自然景区(申万)
,,,,852121.SI,酒店(申万)
,,,,852131.SI,旅游综合(申万)
,,,,852182.SI,检测服务(申万)
,,,,852183.SI,会展服务(申万)
,,,,852213.SI,通信工程及服务(申万)
,,,,852214.SI,通信应用增值服务(申万)
,,,,852226.SI,IT服务Ⅲ(申万)
,,,,852311.SI,综合Ⅲ(申万)
,,,,857111.SI,水泥制造(申万)
,,,,857112.SI,水泥制品(申万)
,,,,857121.SI,玻璃制造(申万)
,,,,857122.SI,玻纤制造(申万)
,,,,857221.SI,装修装饰Ⅲ(申万)
,,,,857236.SI,基建市政工程(申万)
,,,,857241.SI,钢结构(申万)
,,,,857242.SI,化学工程(申万)
,,,,857243.SI,国际工程(申万)
,,,,857244.SI,其他专业工程(申万)
,,,,857251.SI,园林工程(申万)
,,,,857261.SI,工程咨询服务Ⅲ(申万)
,,,,857321.SI,电网自动化设备(申万)
,,,,857323.SI,电工仪器仪表(申万)
,,,,857334.SI,火电设备(申万)
,,,,857336.SI,其他电源设备Ⅲ(申万)
,,,,857344.SI,线缆部件及其他(申万)
,,,,857352.SI,光伏电池组件(申万)
,,,,857354.SI,光伏辅材(申万)
,,,,857355.SI,光伏加工设备(申万)
,,,,857362.SI,风电零部件(申万)
,,,,857371.SI,锂电池(申万)
,,,,857372.SI,电池化学品(申万)
,,,,857373.SI,锂电专用设备(申万)
,,,,857375.SI,蓄电池及其他电池(申万)
,,,,857381.SI,输变电设备(申万)
,,,,857382.SI,配电设备(申万)
,,,,857411.SI,航天装备Ⅲ(申万)
,,,,857421.SI,航空装备Ⅲ(申万)
,,,,857431.SI,地面兵装Ⅲ(申万)
,,,,857451.SI,军工电子Ⅲ(申万)
,,,,857641.SI,游戏Ⅲ(申万)
,,,,857651.SI,营销代理(申万)
,,,,857661.SI,影视动漫制作(申万)
,,,,857674.SI,门户网站(申万)
,,,,857691.SI,教育出版(申万)
,,,,857692.SI,大众出版(申万)
,,,,857821.SI,国有大型银行Ⅲ(申万)
,,,,857831.SI,股份制银行Ⅲ(申万)
,,,,857841.SI,城商行Ⅲ(申万)
,,,,857851.SI,农商行Ⅲ(申万)
,,,,858811.SI,其他运输设备(申万)
,,,,858812.SI,摩托车(申万)
,,,,859511.SI,动力煤(申万)
,,,,859512.SI,焦煤(申万)
,,,,859521.SI,焦炭Ⅲ(申万)
,,,,859621.SI,油田服务(申万)
,,,,859622.SI,油气及炼化工程(申万)
,,,,859631.SI,炼油化工(申万)
,,,,859632.SI,油品石化贸易(申万)
,,,,859633.SI,其他石化(申万)
,,,,859711.SI,大气治理(申万)
,,,,859712.SI,水务及水治理(申万)
,,,,859713.SI,固废治理(申万)
,,,,859714.SI,综合环境治理(申万)
,,,,859721.SI,环保设备Ⅲ(申万)
,,,,859811.SI,生活用纸(申万)
,,,,859821.SI,化妆品制造及其他(申万)
,,,,859822.SI,品牌化妆品(申万)
,,,,859852.SI,培训教育(申万)
,,,,859951.SI,电视广播Ⅲ(申万)
